11 45 34 1 55 127921 1 1 0 4 3 0 2 1 9 1 0 1 3 241885 0 1 44 4 
4 50 41 1 60 231619 1 2 0 2 3 0 2 1 10 5 0 1 3 104334 0 1 59 9 
2 40 36 1 26 119941 1 1 0 4 3 0 1 1 9 7 0 1 2 77953 0 1 44 15 
1 40 26 1 38 215766 1 1 0 2 3 0 6 1 10 2 3103 1 3 167350 0 1 31 4 
1 40 28 1 38 170525 1 1 0 7 6 3471 4 1 11 2 0 2 2 109857 0 1 18 1 
7 60 33 NaN 42 329408 1 1 0 4 3 0 11 1 9 1 0 1 1 51543 0 NaN 29 4 
2 48 67 1 25 137142 3 1 0 9 3 0 2 1 4 1 0 1 1 325373 0 1 22 4 
2 40 44 1 48 59313 1 5 0 1 3 0 1 1 13 4 0 1 1 210525 0 1 41 6 
NaN 45 20 1 35 175856 NaN 1 0 4 1 0 4 1 9 4 0 1 3 84375 0 1 35 1 
7 35 20 1 47 142766 1 1 0 4 2 3781 1 1 9 2 0 3 2 162688 0 2 34 4 
5 40 18 1 30 189666 1 1 0 4 1 0 2 1 9 2 0 1 1 163787 0 1 21 2 
9 10 19 1 37 26880 6 2 0 2 2 0 8 1 10 2 0 3 1 135162 0 5 35 4 
4 60 40 9 21 165218 1 1 0 2 3 0 4 4 10 4 0 1 1 184378 0 1 26 4 
5 45 44 1 36 218785 2 5 1977 4 3 0 4 1 9 4 0 1 1 179557 0 1 22 1 
6 40 36 1 28 254781 1 1 0 1 4 0 1 1 13 4 0 3 1 102568 0 2 56 15 
6 40 46 1 30 209900 1 2 0 1 4 0 11 1 13 1 0 2 1 125492 0 3 23 4 
4 30 25 1 21 161922 1 1 0 4 2 0 4 1 9 14 0 3 3 197130 0 2 24 4 
6 50 23 1 67 294434 1 4 0 1 4 0 4 1 13 1 0 3 3 203924 0 1 45 2 
4 40 45 1 51 185216 3 5 0 4 6 0 2 1 9 4 0 3 1 81534 0 1 44 4 
3 39 22 1 53 275095 6 1 0 2 5 0 2 29 10 3 0 3 1 264102 0 1 38 1 
9 40 43 1 42 186934 6 5 0 4 6 0 4 1 9 4 0 3 1 218542 0 1 42 4 
NaN 40 27 1 41 210448 NaN 1 0 4 4 0 13 1 9 2 0 3 1 204074 0 2 20 4 
6 30 55 1 46 170721 1 1 0 14 3 4865 2 1 16 3 15024 1 4 116878 0 3 20 6 
6 40 44 33 42 166304 1 1 0 1 3 0 3 NaN 13 1 99999 1 1 227065 0 1 20 2 
2 40 38 1 24 324445 1 1 0 4 2 0 1 1 9 4 0 3 2 218490 0 1 57 9 
6 40 53 1 38 27242 6 1 0 14 3 0 2 1 16 1 0 1 3 71417 0 1 47 2 
8 40 46 1 25 443809 1 NaN 0 13 4 0 2 1 6 4 0 3 5 161508 0 6 42 4 
NaN 40 31 1 24 133503 NaN NaN 0 1 4 0 9 1 13 9 0 3 3 317761 0 1 25 8 
5 40 33 1 55 46868 1 1 0 4 6 0 2 1 9 1 0 2 2 180551 0 2 25 4 
6 25 63 1 64 229465 1 1 0 4 1 0 4 1 9 3 0 1 3 151364 0 6 22 2 
9 40 63 1 30 266070 1 1 0 4 6 0 3 1 9 1 0 5 2 38352 0 1 49 4 
3 40 55 1 66 200352 2 1 0 4 3 0 4 1 9 2 0 1 1 271795 0 1 24 2 
6 60 33 1 27 225395 2 1 0 1 3 0 8 1 13 1 0 1 1 175502 0 NaN 47 4 
4 15 81 1 30 100669 1 1 0 2 3 0 4 1 10 1 0 1 1 122651 0 1 32 4 
9 40 23 1 31 192995 1 1 0 4 4 0 1 1 9 4 0 3 5 85139 0 1 26 4 
5 45 44 1 42 138994 3 1 0 2 4 3137 1 1 10 2 2202 3 6 56236 0 1 55 4 
7 40 38 1 30 203488 1 1 0 4 4 0 11 1 9 1 0 3 1 175441 0 1 25 4 
9 50 38 1 59 190205 1 5 0 11 4 0 8 17 14 7 0 3 1 353263 0 1 37 4 
6 3 75 1 27 326936 2 1 0 14 3 7688 1 1 16 7 4931 1 3 231741 0 3 49 1 
2 45 35 1 29 185764 1 1 0 4 3 0 4 1 9 8 0 1 2 173586 0 1 54 2 
6 45 32 1 27 331894 1 1 1902 11 3 0 15 9 14 13 0 1 1 154210 0 1 49 11 
13 40 31 1 46 196125 5 1 0 4 3 0 4 1 9 13 0 1 2 206297 0 NaN 65 1 
NaN 24 36 1 39 213092 NaN 1 0 3 2 0 6 1 7 2 0 3 1 320183 0 5 30 1 
8 40 56 1 34 112507 1 1 0 4 3 0 2 1 9 11 0 1 3 53481 0 6 28 11 
6 45 33 1 69 101266 1 1 0 1 4 0 4 1 13 1 10520 3 3 356823 0 4 28 4 
11 40 34 1 61 161155 1 1 0 4 3 0 1 1 9 2 0 1 4 381153 0 1 44 4 
6 60 38 16 22 105422 1 5 0 5 3 0 10 1 15 7 0 1 1 348739 0 2 37 1 
6 5 30 1 20 146365 6 1 0 2 4 0 4 1 10 4 0 3 2 61989 0 1 36 2 
9 40 53 1 22 31826 1 1 0 11 1 0 11 1 14 2 0 1 3 285621 0 1 53 3 
7 40 27 1 36 142470 1 1 0 4 6 99999 4 1 9 4 0 3 1 188909 0 1 52 10 
NaN 40 41 1 44 245361 NaN 1 0 4 4 0 4 1 9 4 0 2 1 119207 0 2 39 4 
11 40 18 1 38 156033 4 1 0 4 2 0 2 1 9 2 0 3 2 263162 0 3 22 15 
5 40 76 1 41 289886 1 1 0 1 3 0 11 1 13 4 0 1 3 125784 0 1 25 4 
3 40 26 1 38 139012 1 3 0 1 4 0 4 1 13 7 0 3 3 55929 0 1 39 4 
8 40 51 1 39 405526 1 2 0 4 3 0 3 1 9 2 0 1 1 136913 0 1 34 4 
10 70 64 1 17 37937 1 1 0 4 3 0 2 1 9 4 0 1 1 298546 0 1 53 2 
4 40 26 16 47 199806 1 2 0 1 2 0 2 1 13 2 0 3 3 188767 0 1 20 1 
5 35 25 1 26 98466 1 5 0 1 4 0 7 1 13 1 0 3 1 160300 0 5 52 4 
13 40 41 1 31 378723 5 1 0 4 6 0 3 1 9 4 0 2 1 216116 2057 1 41 2 
3 38 22 1 25 336951 1 1 0 2 2 0 11 1 10 7 0 3 6 195075 0 1 29 2 
5 40 46 1 23 157332 1 1 0 4 3 0 2 1 9 11 0 1 1 29696 0 4 62 2 
10 45 28 1 35 232782 2 4 0 7 2 0 4 1 11 11 10520 3 1 29974 0 1 45 1 
2 40 36 1 19 211804 1 1 0 2 3 0 4 1 10 2 0 1 3 241306 0 1 57 1 
5 50 63 1 66 73019 1 1 0 4 6 0 4 1 9 4 0 5 3 181929 0 3 34 11 
4 50 52 1 46 148084 1 1 0 2 4 0 2 1 10 4 0 2 2 95128 0 NaN 34 2 
2 40 20 5 26 244408 1 2 0 4 2 0 7 1 9 4 0 3 2 257509 0 1 49 1 
NaN 30 34 1 40 258339 NaN 1 0 1 3 0 4 1 13 2 0 1 1 35595 0 1 64 11 
7 40 42 1 36 190759 1 1 0 4 3 0 9 1 9 4 0 1 3 124692 0 1 32 2 
10 40 19 1 23 400004 1 1 0 4 2 0 1 1 9 4 0 3 2 220819 0 1 26 4 
3 42 31 5 33 164190 1 1 0 7 3 0 1 1 11 4 0 1 1 77634 0 1 69 4 
NaN 48 33 1 55 158363 NaN 1 0 4 6 0 7 1 9 1 0 2 3 33404 0 2 58 4 
9 46 55 1 39 57233 4 1 0 4 3 0 4 1 9 4 0 1 3 171870 0 1 60 4 
6 80 27 1 34 97176 1 2 0 14 3 0 1 1 16 4 0 1 1 201017 0 1 62 4 
13 40 20 1 45 174533 1 1 0 2 4 0 4 1 10 13 0 3 5 20057 0 6 51 13 
NaN 40 41 1 67 320084 NaN NaN 0 8 1 0 4 40 5 1 0 1 1 217921 0 1 38 7 
NaN 40 38 1 56 411068 NaN NaN 0 2 3 0 4 1 10 10 0 1 5 320811 0 1 20 1 
4 25 35 21 34 147921 1 5 0 4 4 7688 4 1 9 4 0 3 1 140752 0 1 27 2 
6 40 43 1 60 93415 1 6 1902 11 3 15024 4 1 14 4 0 1 1 256813 0 1 38 2 
